"login_id","display_name","email","role","office_id","initial_password","mfa_required"
"safety-director-01","安全環境室長（氏名入力）","","safety-environment-director","","","true"
"safety-staff-01","安全環境室職員1（氏名入力）","","safety-environment-staff","","","true"
"safety-staff-02","安全環境室職員2（氏名入力）","","safety-environment-staff","","","true"
"safety-staff-03","安全環境室職員3（氏名入力）","","safety-environment-staff","","","true"
"safety-staff-04","安全環境室職員4（氏名入力）","","safety-environment-staff","","","true"
"safety-staff-05","安全環境室職員5（氏名入力）","","safety-environment-staff","","","true"
"pilot-user-01","利用者1（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-02","利用者2（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-03","利用者3（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-04","利用者4（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-05","利用者5（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-06","利用者6（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-07","利用者7（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-08","利用者8（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-09","利用者9（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-10","利用者10（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-11","利用者11（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-12","利用者12（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-13","利用者13（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-14","利用者14（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-15","利用者15（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-16","利用者16（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-17","利用者17（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-18","利用者18（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-19","利用者19（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-20","利用者20（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-21","利用者21（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-22","利用者22（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-23","利用者23（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-24","利用者24（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-25","利用者25（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-26","利用者26（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-27","利用者27（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-28","利用者28（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-29","利用者29（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-30","利用者30（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-31","利用者31（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-32","利用者32（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-33","利用者33（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-34","利用者34（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-35","利用者35（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-36","利用者36（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-37","利用者37（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-38","利用者38（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-39","利用者39（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-40","利用者40（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-41","利用者41（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-42","利用者42（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-43","利用者43（氏名入力）","","office-user","office-kawasaki","","false"
"pilot-user-44","利用者44（氏名入力）","","office-user","office-kawasaki","","false"
